Node,Label,SGD,OGEE,DEG,SOD,essential
YDR404C,ORF-V,1,1,1,3,1
YDR509W,ORF-DU,0,0,0,0,0
YER087W,ORF-V,0,0,0,0,0
YKR068C,ORF-V,1,1,1,3,1
YDR389W,ORF-V,1,0,1,2,1
YIL073C,ORF-V,0,0,0,0,0
YPRWSIGMA3,LTR,0,0,0,0,0
TR(UCU)K,tRNA gene,0,0,0,0,0
YOR090C,ORF-V,0,0,0,0,0
YOR172W,ORF-V,0,0,0,0,0
YHR149C,ORF-V,0,0,0,0,0
YOR322C,ORF-V,0,0,0,0,0
YOR297C,ORF-V,1,0,0,1,1
YBL099W,ORF-V,0,0,0,0,0
YKL118W,ORF-DU,0,0,0,0,0
YMR276W,ORF-V,1,0,0,1,1
YOR037W,ORF-V,0,0,0,0,0
YIL054W,ORF-U,0,0,0,0,0
YAR008W,ORF-V,1,1,1,3,1
YNL229C,ORF-V,0,0,0,0,0
YNL145W,ORF-V,0,0,0,0,0
YDRCTY1-2,LTR,0,0,0,0,0
YDR082W,ORF-V,1,1,1,3,1
YJLCDELTA5,LTR,0,0,0,0,0
YDL109C,ORF-U,0,0,0,0,0
YOR299W,ORF-V,0,0,0,0,0
YLR291C,ORF-V,1,1,1,3,1
YPR096C,ORF-V,0,0,0,0,0
YDR229W,ORF-V,0,0,0,0,0
YMR004W,ORF-V,0,0,0,0,0
YDL205C,ORF-V,1,1,1,3,1
YPL071C,ORF-U,0,0,0,0,0
YNL030W,ORF-V,0,0,0,0,0
YBR293W,ORF-V,0,0,0,0,0
YMR022W,ORF-V,0,0,0,0,0
YGR065C,ORF-V,1,0,1,2,1
YDR432W,ORF-V,1,0,0,1,1
YOL154W,ORF-V,0,0,0,0,0
YPL175W,ORF-V,1,1,1,3,1
YBL035C,ORF-V,1,1,1,3,1
YLR439W,ORF-V,0,0,0,0,0
TD(GUC)J1,tRNA gene,0,0,0,0,0
YDR365C,ORF-V,1,1,1,3,1
YHR064C,ORF-V,0,0,0,0,0
YPL015C,ORF-V,0,0,0,0,0
YBL058W,ORF-V,1,0,0,1,1
YPL029W,ORF-V,0,0,0,0,0
YKL006W,ORF-V,0,0,0,0,0
YAL005C,ORF-V,0,0,0,0,0
YMR184W,ORF-V,0,0,0,0,0
YMR142C,ORF-V,0,0,0,0,0
YIL163C,ORF-U,0,0,0,0,0
YHR070W,ORF-V,1,0,1,2,1
YGR139W,ORF-DU,0,0,0,0,0
YDL146W,ORF-V,0,0,0,0,0
YLR457C,ORF-V,1,1,1,3,1
YGL109W,ORF-DU,0,0,0,0,0
YJR110W,ORF-V,0,0,0,0,0
YMR154C,ORF-V,0,0,0,0,0
YGL143C,ORF-V,0,0,0,0,0
YGR122C-A,ORF-DU,0,0,0,0,0
YDL059C,ORF-V,1,0,0,1,1
YKL102C,ORF-U,0,0,0,0,0
YFL007W,ORF-V,0,0,0,0,0
YKL088W,ORF-V,1,1,1,3,1
YER141W,ORF-V,0,0,0,0,0
YKR101W,ORF-V,0,0,0,0,0
YFLWDELTA4,LTR,0,0,0,0,0
YDR098C,ORF-V,0,0,0,0,0
YLR079W,ORF-V,1,0,0,1,1
YDR019C,ORF-V,0,0,0,0,0
YGR286C,ORF-V,0,0,0,0,0
YER029C,ORF-V,0,0,0,0,0
YMR316C-A,ORF-U,0,0,0,0,0
YFL030W,ORF-V,0,0,0,0,0
YHR089C,ORF-V,0,0,0,0,0
YGRWDELTA21,LTR,0,0,0,0,0
YJL025W,ORF-V,1,1,1,3,1
YGL104C,ORF-V,0,0,0,0,0
YDR493W,ORF-V,0,0,0,0,0
YJL138C,ORF-V,0,0,0,0,0
