index,protein,dc
393,YHR075C,3.6326
394,YBL051C,7.2652
395,YLR284C,7.2652
396,YMR094W,10.8978
397,YGL172W,7.2652
398,YML095C,7.2652
399,YPL038W,3.6326
400,YNL201C,18.163
401,YIL065C,7.2652
402,YLL001W,3.6326
403,YNL210W,3.6326
404,YNR029C,3.6326
405,YGL161C,14.5304
406,YDR490C,7.2652
407,YOR261C,3.6326
408,YHR091C,3.6326
409,YJL025W,3.6326
410,YCL032W,7.2652
411,YDR201W,14.5304
412,YDR386W,3.6326
413,YJR094C,3.6326
414,YIL144W,18.163
415,YMR269W,3.6326
416,YFR047C,7.2652
417,YBL014C,3.6326
418,YBR125C,3.6326
419,YDR273W,3.6326
420,YGL237C,7.2652
421,YDR200C,10.8978
422,YNR022C,3.6326
423,YBR006W,7.2652
424,YML114C,3.6326
425,YIL113W,7.2652
426,YBR017C,3.6326
427,YOL036W,0.0
428,YNL146W,3.6326
429,YLR243W,7.2652
430,YOL059W,3.6326
431,YOL091W,3.6326
432,YNR048W,3.6326
433,YER031C,14.5304
434,YCR020C-A,3.6326
435,YPL229W,7.2652
436,YGL150C,7.2652
437,YHR016C,14.5304
438,YLR015W,3.6326
439,YNL078W,7.2652
440,YJR133W,7.2652
441,YMR312W,3.6326
442,YGR119C,14.5304
443,YHR128W,3.6326
444,YDR132C,10.8978
445,YDR508C,3.6326
446,YGR239C,3.6326
447,YOL108C,18.163
448,YLR424W,7.2652
449,YDR115W,3.6326
450,YGR099W,3.6326
451,YHL025W,3.6326
452,YER126C,3.6326
453,YDR448W,7.2652
454,YML121W,3.6326
455,YDL155W,3.6326
456,YAL036C,3.6326
457,YOR174W,14.5304
458,YDL002C,7.2652
459,YDR313C,3.6326
460,YFR011C,3.6326
461,YJL141C,3.6326
462,YHL006C,10.8978
463,YJL203W,3.6326
464,YGL019W,3.6326
465,YAL016W,3.6326
466,YML094W,3.6326
467,YIR024C,3.6326
468,YJL084C,7.2652
469,YJL041W,3.6326
470,YKR025W,3.6326
471,YLR315W,7.2652
472,YPL204W,3.6326
473,YHR102W,3.6326
474,YGL096W,3.6326
475,YDR218C,3.6326
476,YDL012C,21.7956
477,YKR011C,3.6326
478,YDR480W,10.8978
479,YJL200C,3.6326
480,YCR030C,3.6326
481,YKR096W,3.6326
482,YMR079W,3.6326
483,YKL028W,7.2652
484,YGL213C,3.6326
485,YOL149W,25.4282
486,YDR108W,3.6326
487,YDR267C,3.6326
488,YMR096W,7.2652
489,YLR423C,18.163
490,YKL103C,10.8978
491,YMR314W,3.6326
492,YPR182W,14.5304
493,YBR171W,3.6326
494,YDR088C,3.6326
495,YPL049C,7.2652
496,YGL071W,7.2652
497,YGL126W,3.6326
498,YOR284W,3.6326
499,YMR052W,10.8978
500,YDR400W,3.6326
501,YKR022C,7.2652
502,YDR503C,3.6326
503,YBR094W,3.6326
504,YLL062C,3.6326
505,YGR250C,3.6326
506,YPL211W,3.6326
507,YPR040W,3.6326
508,YBR253W,3.6326
509,YOL135C,7.2652
510,YDR123C,3.6326
511,YPR049C,3.6326
512,YDL001W,7.2652
513,YDR489W,7.2652
514,YPR046W,3.6326
515,YBR205W,14.5304
516,YOR036W,10.8978
517,YMR210W,3.6326
518,YFR008W,3.6326
519,YNR032W,10.8978
520,YDR002W,3.6326
521,YDR026C,3.6326
522,YPL003W,3.6326
523,YDR174W,14.5304
524,YEL041W,3.6326
525,YBR270C,14.5304
526,YFR052W,7.2652
527,YLR150W,3.6326
527,YLR150W,3.6326
528,YLR254C,3.6326
529,YGL028C,3.6326
530,YPL222W,18.163
531,YPR185W,3.6326
532,YBL007C,3.6326
533,YGL238W,3.6326
534,YPR078C,10.8978
535,YDR378C,3.6326
536,YDR130C,7.2652
537,YCR059C,3.6326
538,YDR381W,3.6326
539,YER143W,3.6326
540,YJR009C,3.6326
541,YLR376C,10.8978
542,YNL135C,7.2652
543,YDR482C,10.8978
544,YDR179C,3.6326
545,YGR278W,3.6326
546,YLR224W,10.8978
547,YBR057C,3.6326
548,YNR012W,18.163
549,YDR335W,3.6326
550,YLR335W,3.6326
551,YJR050W,3.6326
552,YGL221C,14.5304
553,YDR311W,18.163
554,YPL161C,3.6326
555,YGR173W,18.163
556,YGR014W,3.6326
557,YLR323C,3.6326
558,YGR061C,3.6326
559,YLR049C,3.6326
560,YKL205W,3.6326
561,YKR030W,7.2652
562,YIR005W,10.8978
563,YGL254W,3.6326
564,YDL101C,3.6326
565,YOR329C,10.8978
566,YPL246C,7.2652
567,YDR326C,7.2652
568,YLL027W,3.6326
569,YHL042W,10.8978
570,YPL174C,3.6326
571,YOR368W,7.2652
572,YKL019W,3.6326
573,YGR240C,3.6326
574,YOL111C,3.6326
575,YNL116W,7.2652
576,YMR048W,7.2652
577,YNL032W,3.6326
578,YJR135C,3.6326
579,YGR229C,3.6326
580,YLR433C,3.6326
581,YNR010W,3.6326
582,YML119W,3.6326
583,YKL008C,7.2652
584,YGR048W,7.2652
585,YDR308C,7.2652
586,YGR017W,3.6326
587,YPR159W,3.6326
588,YLR167W,3.6326
589,YEL062W,3.6326
590,YDL098C,3.6326
591,YDR070C,7.2652
592,YIL074C,10.8978
593,YJL124C,3.6326
594,YDL216C,10.8978
595,YOR348C,3.6326
596,YNL099C,3.6326
597,YPR165W,10.8978
598,YGR024C,3.6326
599,YER047C,3.6326
600,YGL175C,3.6326
601,YCL059C,3.6326
602,YHL046C,10.8978
603,YGL122C,3.6326
604,YNL199C,10.8978
605,YMR236W,3.6326
606,YBR052C,25.4282
607,YGL229C,7.2652
608,YPL149W,10.8978
609,YOR167C,3.6326
610,YOR023C,3.6326
611,YGR213C,3.6326
612,YBR138C,3.6326
613,YOR025W,3.6326
614,YDL133W,3.6326
615,YGR234W,3.6326
616,YIL033C,14.5304
617,YHR060W,3.6326
618,YBR133C,3.6326
619,YDL214C,3.6326
620,YGR057C,3.6326
621,YDR383C,3.6326
622,YMR077C,7.2652
623,YGL025C,7.2652
624,YDR398W,3.6326
625,YDR439W,39.95859999999999
626,YOR355W,3.6326
627,YBR237W,10.8978
628,YOR353C,3.6326
629,YOR069W,3.6326
630,YMR091C,7.2652
631,YLR113W,3.6326
632,YGR117C,7.2652
633,YDR078C,3.6326
634,YBR244W,3.6326
635,YGL154C,3.6326
636,YDR077W,3.6326
637,YIL001W,3.6326
638,YGR155W,7.2652
639,YDL215C,3.6326
640,YGR129W,3.6326
641,YIL013C,3.6326
642,YCL024W,3.6326
