index,protein,bc
370,YOR047C,3473.2186147186153
371,YHR035W,0.0
372,YLR389C,0.0
373,YLR264W,3459.625000000001
374,YER027C,1748.0437118437112
375,YKL017C,0.0
376,YPR119W,156.0
377,YDL135C,0.0
378,YLR362W,0.0
379,YPL259C,0.0
380,YER007C-A,0.0
381,YLR447C,0.0
382,YOR220W,0.0
383,YLR100W,0.0
384,YFL009W,0.0
385,YLL028W,0.0
386,YNL287W,0.0
387,YDR292C,0.0
388,YFR032C,0.0
389,YPL140C,0.0
390,YIL151C,11.0
391,YDR106W,0.0
392,YHR030C,2.0
393,YHR075C,0.0
394,YBL051C,5.0
395,YLR284C,438.00000000000006
396,YMR094W,686.0595238095235
397,YGL172W,813.6727178618474
398,YML095C,438.0
399,YPL038W,0.0
400,YNL201C,6793.003178400556
401,YIL065C,746.5657509157508
402,YLL001W,0.0
403,YNL210W,0.0
404,YNR029C,0.0
405,YGL161C,1079.8333333333337
406,YDR490C,1.0
407,YOR261C,0.0
408,YHR091C,0.0
409,YJL025W,0.0
410,YCL032W,3.0
411,YDR201W,4826.417582417583
412,YDR386W,0.0
413,YJR094C,0.0
414,YIL144W,8435.813253413253
415,YMR269W,0.0
416,YFR047C,438.0
417,YBL014C,0.0
418,YBR125C,0.0
419,YDR273W,0.0
420,YGL237C,0.0
421,YDR200C,140.0
422,YNR022C,0.0
423,YBR006W,1.0
424,YML114C,0.0
425,YIL113W,2.0
426,YBR017C,0.0
427,YOL036W,0.0
428,YNL146W,0.0
429,YLR243W,1308.0
430,YOL059W,0.0
431,YOL091W,0.0
432,YNR048W,0.0
433,YER031C,1798.134940275839
434,YCR020C-A,0.0
435,YPL229W,874.0
436,YGL150C,874.0
437,YHR016C,3467.0
438,YLR015W,0.0
439,YNL078W,20.0
440,YJR133W,874.0
441,YMR312W,0.0
442,YGR119C,2851.781151685847
443,YHR128W,0.0
444,YDR132C,15.0
445,YDR508C,0.0
446,YGR239C,0.0
447,YOL108C,1746.0
448,YLR424W,874.0
449,YDR115W,0.0
450,YGR099W,0.0
451,YHL025W,0.0
452,YER126C,0.0
453,YDR448W,438.0
454,YML121W,0.0
455,YDL155W,0.0
456,YAL036C,0.0
457,YOR174W,11.0
458,YDL002C,438.0
459,YDR313C,0.0
460,YFR011C,0.0
461,YJL141C,0.0
462,YHL006C,1310.0
463,YJL203W,0.0
464,YGL019W,0.0
465,YAL016W,0.0
466,YML094W,0.0
467,YIR024C,0.0
468,YJL084C,1308.0
469,YJL041W,0.0
470,YKR025W,0.0
471,YLR315W,438.0
472,YPL204W,0.0
473,YHR102W,0.0
474,YGL096W,0.0
475,YDR218C,0.0
476,YDL012C,3043.0
477,YKR011C,0.0
478,YDR480W,875.0
479,YJL200C,0.0
480,YCR030C,0.0
481,YKR096W,0.0
482,YMR079W,0.0
483,YKL028W,438.0
484,YGL213C,0.0
485,YOL149W,5073.367038517035
486,YDR108W,0.0
487,YDR267C,0.0
488,YMR096W,0.5
489,YLR423C,19920.047276191886
490,YKL103C,230.31666666666666
491,YMR314W,0.0
492,YPR182W,1327.9569833675118
493,YBR171W,0.0
494,YDR088C,0.0
495,YPL049C,1308.0
496,YGL071W,1.0
497,YGL126W,0.0
498,YOR284W,0.0
499,YMR052W,56.0
500,YDR400W,0.0
501,YKR022C,438.0
502,YDR503C,0.0
503,YBR094W,0.0
504,YLL062C,0.0
505,YGR250C,0.0
506,YPL211W,0.0
507,YPR040W,0.0
508,YBR253W,0.0
509,YOL135C,0.0
510,YDR123C,0.0
511,YPR049C,0.0
512,YDL001W,1.0
513,YDR489W,1.0
514,YPR046W,0.0
515,YBR205W,1520.3414334584804
516,YOR036W,974.0470614879665
517,YMR210W,0.0
518,YFR008W,0.0
519,YNR032W,8.0
520,YDR002W,0.0
521,YDR026C,0.0
522,YPL003W,0.0
523,YDR174W,3112.841636141636
524,YEL041W,0.0
525,YBR270C,8764.39653553922
526,YFR052W,438.0
527,YLR150W,0.0
527,YLR150W,0.0
528,YLR254C,0.0
529,YGL028C,0.0
530,YPL222W,3501.9438644688644
531,YPR185W,0.0
532,YBL007C,0.0
533,YGL238W,0.0
534,YPR078C,4.625
535,YDR378C,0.0
536,YDR130C,1.0
537,YCR059C,0.0
538,YDR381W,0.0
539,YER143W,0.0
540,YJR009C,0.0
541,YLR376C,43.0
542,YNL135C,2.0
543,YDR482C,1743.0
544,YDR179C,0.0
545,YGR278W,0.0
546,YLR224W,875.0
547,YBR057C,0.0
548,YNR012W,1631.8289377289373
549,YDR335W,0.0
550,YLR335W,0.0
551,YJR050W,0.0
552,YGL221C,1996.1818086883884
553,YDR311W,89.0
554,YPL161C,0.0
555,YGR173W,8143.653155178153
556,YGR014W,0.0
557,YLR323C,0.0
558,YGR061C,0.0
559,YLR049C,0.0
560,YKL205W,0.0
561,YKR030W,1.0
562,YIR005W,875.0
563,YGL254W,0.0
564,YDL101C,0.0
565,YOR329C,646.3414334584808
566,YPL246C,438.0
567,YDR326C,0.5
568,YLL027W,0.0
569,YHL042W,1310.0
570,YPL174C,0.0
571,YOR368W,1.0
572,YKL019W,0.0
573,YGR240C,0.0
574,YOL111C,0.0
575,YNL116W,1906.7635281385283
576,YMR048W,2.0
577,YNL032W,0.0
578,YJR135C,0.0
579,YGR229C,0.0
580,YLR433C,0.0
581,YNR010W,0.0
582,YML119W,0.0
583,YKL008C,1.0
584,YGR048W,0.0
585,YDR308C,2.0
586,YGR017W,0.0
587,YPR159W,0.0
588,YLR167W,0.0
589,YEL062W,0.0
590,YDL098C,0.0
591,YDR070C,2.0
592,YIL074C,442.625
593,YJL124C,0.0
594,YDL216C,875.0
595,YOR348C,0.0
596,YNL099C,0.0
597,YPR165W,1310.0
598,YGR024C,0.0
599,YER047C,0.0
600,YGL175C,0.0
601,YCL059C,0.0
602,YHL046C,2973.2439560439534
603,YGL122C,0.0
604,YNL199C,3523.825438158336
605,YMR236W,0.0
606,YBR052C,3144.817166167161
607,YGL229C,0.0
608,YPL149W,4.625
609,YOR167C,0.0
610,YOR023C,0.0
611,YGR213C,0.0
612,YBR138C,0.0
613,YOR025W,0.0
614,YDL133W,0.0
615,YGR234W,0.0
616,YIL033C,1570.25
617,YHR060W,0.0
618,YBR133C,0.0
619,YDL214C,0.0
620,YGR057C,0.0
621,YDR383C,0.0
622,YMR077C,845.9748168498171
623,YGL025C,1.0
624,YDR398W,0.0
625,YDR439W,17604.277874610783
626,YOR355W,0.0
627,YBR237W,1437.7091896407685
628,YOR353C,0.0
629,YOR069W,0.0
630,YMR091C,438.0
631,YLR113W,0.0
632,YGR117C,1740.0
633,YDR078C,0.0
634,YBR244W,0.0
635,YGL154C,0.0
636,YDR077W,0.0
637,YIL001W,0.0
638,YGR155W,764.4833333333333
639,YDL215C,0.0
640,YGR129W,0.0
641,YIL013C,0.0
642,YCL024W,0.0
643,YOR117W,0.0
644,YNL042W,0.0
645,YCL054W,0.0
646,YBR221C,0.0
647,YMR087W,0.0
648,YGR097W,0.0
649,YMR270C,0.0
650,YHR032W,9675.253679653673
651,YNL189W,875.0
652,YMR025W,0.0
653,YBR250W,0.0
654,YEL037C,1.0
655,YCR009C,0.0
656,YHR038W,0.0
