rank,protein,driver_score
146,YER052C,0.5983257753787414
147,YNR032W,0.5978719629979133
148,YOL129W,0.5974363541190145
149,YHR158C,0.5970389107845275
150,YDL236W,0.5967412644644953
151,YLL062C,0.5962763314717637
152,YCR093W,0.5958450063904844
153,YGR252W,0.5954453715520912
154,YMR053C,0.5951216203015712
155,YOR070C,0.5947410139306942
156,YGR155W,0.5944501183658075
157,YJL184W,0.5940339423679444
158,YOL105C,0.5936280495414195
159,YOR319W,0.5932855329899902
160,YKR030W,0.5929700596043153
161,YGR239C,0.5925244166862477
162,YLR284C,0.592167533815708
163,YGR058W,0.5919349540967713
164,YOR315W,0.5916509080202579
165,YDL132W,0.5913004780071864
166,YAL036C,0.5910266603675306
167,YML064C,0.5907537581483501
168,YBL102W,0.5906036805809283
169,YPR049C,0.5902273512858223
170,YGR173W,0.5898581966880925
171,YOR210W,0.5895259854603819
172,YAL047C,0.5892733868378787
173,YOL020W,0.5889158907767316
174,YBR133C,0.5885184868836508
175,YDR255C,0.5881352847749338
176,YNL094W,0.5878348631430185
177,YLL050C,0.5875557966200364
178,YFR057W,0.5872583128095266
179,YBR211C,0.5870820439390623
180,YNR022C,0.586744140236872
181,YLR335W,0.5863974489189463
182,YGR120C,0.5861098315374612
183,YNL147W,0.5860014658143765
184,YDR013W,0.5855792765601672
