protein,score
YGR192C,0.7357482664118606
YDL131W,0.735677999769594
YBR031W,0.7356077218985205
YLL026W,0.7354949264893303
YML001W,0.7354800015133965
YOR187W,0.7353311423977194
YOR234C,0.735056961371722
YDL144C,0.7349036141035559
YJL052W,0.7348536843276703
YDR115W,0.7344240900407596
YNL055C,0.7337716489597624
YOL058W,0.7337452307214768
YGR161C,0.7337181342336804
YJR145C,0.733624446905005
YMR142C,0.733400585493535
YEL011W,0.7331720500591021
YJR117W,0.7330761581428771
YMR108W,0.7329431169087678
YOR375C,0.7326921623381503
YLR089C,0.7325364002515912
YMR241W,0.7324901893257516
YNL277W,0.7322156578688728
YDR483W,0.7321683448574197
YBR137W,0.7321410795758844
YFL036W,0.7320330019129957
YKL170W,0.7320206686538224
YHR010W,0.7320191702495955
YPL090C,0.7319143758871941
YBR126C,0.731307379029193
YOR136W,0.7312272622004244
YOL027C,0.7310703910974184
YDR457W,0.730881180277424
YGR143W,0.7305951408679994
YNL157W,0.7305709548892273
YPL053C,0.7303231947116412
YDR516C,0.7300243608749237
YNL016W,0.7297146021215152
YOR185C,0.7296686546535146
YDR525W-A,0.7294683039251977
YMR311C,0.7292854257118462
YGR279C,0.7292820329543068
YOL083W,0.7291728511859848
YOR027W,0.7290772387150348
YER065C,0.7287187775264501
YDR418W,0.728690064141214
YBR048W,0.7286076182064856
YBR025C,0.7286065144984201
YKR057W,0.7285643760574951
YDR296W,0.7284987969652612
YKR048C,0.7284835785534796
YOR039W,0.728470599763497
YKL067W,0.7284353683272412
YMR083W,0.7284052087440213
YPL013C,0.7281589200122569
YNL045W,0.7280030810662866
YOR369C,0.7278867478960306
YGL173C,0.7278320156879095
YER088C,0.7278172038441194
YER090W,0.7278124865511324
YPL154C,0.7277674767978475
YLR399C,0.7276796287843563
YJL080C,0.727671579182781
YML055W,0.7276478043059723
YPR069C,0.7275525898470305
YJR113C,0.7275321759181893
YDR335W,0.7274915850068139
YBR072W,0.727482588400494
YMR099C,0.7274598410501928
YLR450W,0.727403037251113
YDR174W,0.7273835254780942
YAL062W,0.7272879379167688
YDR099W,0.7272398345414621
YKR014C,0.7272353511426937
YMR012W,0.7271861876623573
YER048C,0.7270530586445991
YBR222C,0.72704778705311
YLR418C,0.7269732783961697
YHR174W,0.7268836415796824
YNL333W,0.7268359877066665
YGR180C,0.7268304776310891
YCR028C-A,0.7268180827611953
YMR272C,0.7267425305496362
YER017C,0.726732217078352
YOR267C,0.7267067688420952
YGL107C,0.7266940758731595
YBR169C,0.7266787271782726
YML009C,0.7266461545382181
YCR024C-A,0.7266159269025935
YML100W,0.7266104284345701
YEL017W,0.7266000772584987
YLR203C,0.7265810524233159
YKL032C,0.7265706945502144
YDR294C,0.7265648688309954
YHL029C,0.7265423380455441
YBL064C,0.7265339864144218
YER073W,0.7264979927140727
YDR012W,0.7264821633015296
YDL248W,0.7264750496382768
YOR184W,0.7264706030393959
YHR112C,0.7264510535620934
YNL315C,0.7264368472567883
YEL071W,0.7264295827854542
YAL042W,0.7264016538534885
YDL045W-A,0.7263530305567089
YNL030W,0.7262164928960325
YKL157W,0.7261576704975904
YMR004W,0.7261501208090948
YGR020C,0.7261470760570774
YKR067W,0.726113984667916
YKL214C,0.7260344177908568
YOR150W,0.7260319928872785
YML075C,0.7259872486742148
YMR242C,0.7259458365293673
YDL116W,0.7259164168352896
YHR146W,0.7258891414778738
YHR208W,0.7258785203477889
YBR010W,0.7258021596739497
YMR120C,0.7257652963607106
YBR086C,0.7257571246119184
YJR010W,0.7257462637454584
YHL020C,0.7257304023467936
YLR028C,0.7257023246657506
YLR172C,0.7256970709802957
YPL220W,0.7256930238637412
YIL053W,0.7256358898870398
YNL010W,0.7256333920233667
YBR101C,0.7255782874226128
YER083C,0.7255727937143028
YNL096C,0.7255719937020212
YER174C,0.7255666139963505
YJL063C,0.7255527692393923
YML072C,0.7255173420923726
YHR161C,0.7255137635930429
YOR065W,0.7255067166486682
YKL181W,0.7254727929455884
YOR290C,0.7254615608230145
YHR064C,0.7254591987804505
YMR237W,0.7254148375066637
YPR191W,0.7253641030409197
YMR110C,0.7253460108557045
YEL041W,0.7253457392796481
YIL107C,0.7253423592448455
YMR038C,0.7253377301803139
YOR021C,0.7253233713607817
YNL032W,0.7252569914977741
YDL171C,0.7251347180866065
YKL190W,0.7251136328357581
YIL070C,0.7250481381911071
YKL016C,0.7250340467938969
YPL078C,0.7250231716289786
YBL045C,0.7250049769180638
YFL007W,0.7250049401895265
YOL049W,0.7250048036380361
YIL094C,0.7250000273456403
YDR071C,0.7249614495673676
YNL284C,0.7249507600250554
YKL201C,0.7249338168361087
YFL016C,0.7249322529094863
YHL025W,0.724919296205777
YLR388W,0.724912993754965
YEL037C,0.7248327358153095
YEL052W,0.7248172396076581
YDR150W,0.72481106951125
YDL192W,0.7248003103825131
YPR036W,0.72473346414006
YKL148C,0.7247143224557864
YGR276C,0.7247031005228393
YLR257W,0.7246783565667198
YMR315W,0.7246267037577879
YBR205W,0.7246007663152062
YCR069W,0.7245978038855458
YER052C,0.7245471582307357
YDR399W,0.7245383452530418
YJR148W,0.7245012212721931
YJL096W,0.7244950446224632
