index,protein,ec
165,YNR051C,0.00024854677423367597
166,YGR271W,2.6662971363682135e-39
167,YKL004W,0.007620364781193916
168,YLL061W,7.830547220553315e-49
169,YDL092W,0.0019229516946014974
170,YLR089C,6.756360511236601e-11
171,YLR079W,1.9104873467659882e-07
172,YDL007W,9.205132399886171e-07
173,YDL088C,3.799909767746846e-05
174,YBR243C,5.721080344622451e-05
175,YJR072C,2.823952957859925e-05
176,YHR072W,0.0033111645552764764
177,YMR299C,0.03432905765044012
178,YPR029C,4.622457483012768e-05
179,YBR227C,1.8354101017513706e-07
180,YOL069W,4.2914333749309325e-40
181,YDL047W,5.4012789006536515e-06
182,YJL016W,0.01496609706620133
183,YOL077C,7.584599566925468e-05
184,YLL048C,0.0012639599907788058
185,YGR238C,0.00023820094237774977
186,YGL242C,0.0005154969114507366
187,YHR122W,9.904923174732204e-42
188,YDL085W,3.086080374610882e-09
189,YCR021C,0.11106679524173102
190,YBR154C,0.0002114178139843812
191,YDR101C,0.00021839592272883943
192,YLR144C,0.0058825025580337325
193,YKL173W,2.894375568924804e-07
194,YDR325W,1.2140242744339224e-45
195,YHL029C,1.724002557632755e-44
196,YLR196W,1.6476371298868776e-05
197,YDL019C,0.00021406733265275806
198,YJL178C,0.004787124768553363
199,YOR104W,0.01506630344026629
200,YER090W,0.000771039444112901
201,YPR189W,6.515230207521876e-08
202,YGL153W,0.00027552429517617
203,YDR188W,3.306344686360973e-10
204,YDR142C,0.0005346499315332816
205,YLR025W,4.1088536052140965e-27
206,YBR212W,0.00013247490976110775
207,YIL027C,0.024386008467760532
208,YPR173C,1.635196788839034e-27
209,YBL026W,0.0007951003222079567
210,YMR016C,1.187140568625049e-08
211,YGL206C,0.0006352633041825317
212,YDL165W,0.0009471257339400862
213,YER082C,6.037777962927062e-09
214,YGR133W,0.00013356680664302744
215,YJL110C,4.535511815709e-44
216,YMR054W,6.503370130664332e-05
217,YDL213C,2.9970589525122375e-06
218,YNL113W,7.458453197873832e-09
219,YLL043W,0.0063944578609391725
220,YNL091W,0.0011893552771823324
221,YOR270C,0.0015179620253250846
222,YGR157W,0.002399261892861902
223,YMR070W,6.36466178040594e-08
224,YGR280C,4.846430305849256e-06
225,YIL124W,0.0035007744845950125
226,YNL020C,0.00017174007108243457
227,YCL010C,2.1963510292478816e-49
228,YGL070C,5.744929059387833e-09
229,YGL002W,0.0010183450414898761
230,YFR003C,2.88168488089145e-10
231,YLR006C,2.8682042705920183e-37
232,YAL021C,0.0016775744104208087
233,YKR003W,0.01862194795235007
234,YDR129C,0.00046681444463177884
235,YDL137W,0.0013069055581913277
