index,protein,dc
519,YLR424W,71071.0
520,YDL197C,70967.0
521,YGR099W,33231.0
522,YKR058W,29698.0
523,YER126C,158378.0
524,YMR011W,177103.0
525,YBR036C,40952.0
526,YML121W,294709.0
527,YPR095C,30109.0
528,YPL086C,48630.0
529,YDR189W,206910.0
530,YGL210W,51160.0
531,YGL162W,48743.0
532,YDR515W,32315.0
533,YHL006C,30058.0
534,YGL019W,182259.0
535,YAL016W,140822.0
536,YML094W,82433.0
537,YLR133W,43176.0
538,YOL110W,24650.0
539,YAL017W,23601.0
540,YGL014W,322418.0
541,YJL041W,132922.0
542,YCR028C-A,1274515.0
543,YGR163W,212408.0
544,YLR315W,183371.0
545,YKL080W,279876.0
546,YLR292C,51401.0
547,YBR102C,99847.0
548,YGL078C,111024.0
549,YPL204W,26635.0
550,YGL240W,23714.0
551,YIL062C,401514.0
552,YHR175W,179444.0
553,YML013W,102497.0
554,YOR116C,40353.0
555,YDR350C,29855.0
556,YGR178C,168460.0
557,YCR030C,688192.0
558,YFR021W,63067.0
559,YGR288W,27458.0
560,YDR119W,58599.0
561,YEL039C,51351.0
562,YBR200W,278680.0
563,YGL006W,1113967.0
564,YDL058W,69368.0
565,YGL213C,138774.0
566,YOL149W,56520.0
567,YLL012W,192965.0
568,YMR152W,63368.0
569,YDL123W,525468.0
570,YMR058W,80027.0
571,YGL251C,26759.0
572,YBR171W,51401.0
573,YGR183C,95594.0
574,YBR216C,114924.0
575,YDR088C,0.0
576,YNL238W,228638.0
577,YLR326W,505517.0
578,YPR010C,130180.0
579,YER136W,808771.0
580,YLL013C,27020.0
581,YER166W,511112.0
582,YDR503C,238032.0
583,YDR092W,309636.0
584,YGR191W,28228.0
585,YLL062C,25904.0
586,YNL323W,171511.0
587,YGR250C,64576.0
588,YPL211W,27848.0
589,YFL053W,25904.0
590,YIL115C,146741.0
591,YPR040W,63554.0
592,YKL139W,73283.0
593,YOL090W,70336.0
594,YHR089C,1246627.0
595,YNL243W,579324.0
596,YPL221W,849750.0
597,YOR110W,119586.0
598,YLR347C,159352.0
599,YER056C,125571.0
600,YLR272C,24357.0
601,YNL041C,55305.0
602,YFR008W,42271.0
603,YDR436W,65949.0
604,YML016C,1360943.0
605,YKL057C,81761.0
606,YEL041W,26050.0
607,YJR097W,28042.0
608,YBR023C,459245.0
609,YOR296W,24937.0
610,YNR035C,610378.0
611,YBL020W,47456.0
612,YNL167C,23224.0
613,YDL235C,70281.0
614,YGL023C,172442.0
615,YBL007C,202862.0
616,YPL129W,120589.0
617,YDR378C,121207.0
618,YGR012W,97012.0
619,YCR059C,51346.0
620,YJL020C,183025.0
621,YDR240C,47910.0
622,YER020W,1491499.0
623,YMR080C,98041.0
624,YPR187W,188854.0
625,YJR049C,24726.0
626,YLR449W,91230.0
627,YDL035C,58909.0
628,YJL069C,50138.0
629,YDL192W,1225084.0
630,YML057W,38437.0
631,YLL034C,76338.0
632,YIL009W,96463.0
633,YFL021W,50054.0
634,YCL037C,523913.0
635,YLR335W,241869.0
636,YPL139C,77511.0
