protein,score
YJL058C,0.9818468321537045
YFL027C,0.9818404155012567
YOR010C,0.9818392301005828
YEL013W,0.9818389033814837
YPL212C,0.9818285622140409
YLR011W,0.981827297358992
YLR030W,0.9818264278123343
YOR191W,0.9818211719383928
YDR387C,0.9818211049104356
YNL234W,0.9818191771356045
YGR283C,0.981818678622181
YLR453C,0.981818030010028
YMR315W,0.9818177456170957
YJL047C,0.9818151983888723
YKR048C,0.9818134904556366
YDL192W,0.9818133423500617
YOL014W,0.9818089425230762
YFL067W,0.9817994329274156
YGR223C,0.9817961279999305
YDR155C,0.98179495943044
YOR069W,0.9817935185997723
YJL023C,0.9817867377033846
YLL033W,0.9817841639740331
YNL021W,0.9817820501664115
YLL009C,0.9817802299429462
YBR255W,0.9817781632115016
YJR108W,0.981777073318834
YNR069C,0.9817737653023934
YDL203C,0.9817735775998293
YKL002W,0.9817729261265423
YNL329C,0.981763833070424
YOR089C,0.981760017201954
YGL185C,0.9817482274236715
YOL131W,0.9817439001296432
YER092W,0.9817396704404644
YJR094C,0.9817367716811581
YOR101W,0.9817356136961902
YOR158W,0.9817212424340928
YOL104C,0.9817190922152937
YDR382W,0.9817155780328082
YEL072W,0.9817113110274583
YHR090C,0.9817101149607596
YCR087C-A,0.9817085857276261
YMR038C,0.9817056144785152
YBR058C,0.9817055969328918
YLR267W,0.9817036610565997
YKL068W,0.9817012934099774
YFR043C,0.9816978629142545
YOL109W,0.9816822823130851
YJL059W,0.9816821324934983
YCR030C,0.9816752516573505
YJR100C,0.9816741606421562
YCR099C,0.9816740837357818
YIR025W,0.981668438697295
YDL214C,0.9816684134667021
YHR121W,0.9816682154825804
YKL221W,0.9816591385674756
YPR083W,0.9816568514879279
YOR155C,0.9816510989959186
YFL003C,0.9816509979897642
YDL159W,0.9816482590907801
YEL048C,0.981643775299485
YHL042W,0.9816437496449325
YFR017C,0.9816431497317738
YPL118W,0.9816388699050831
YDR386W,0.9816348643217857
YML061C,0.9816322534783273
YBR130C,0.981630056547371
YHR159W,0.9816271481247372
