index,protein,ec
67,YIL142W,8.980823695084011e-05
68,YNR007C,0.00518128966929662
69,YBR055C,0.0012295516866309777
70,YGL187C,0.004199168011690574
71,YGR232W,0.0015226866787230303
72,YFR028C,0.0038957114545198433
73,YHR019C,1.924918804540911e-06
74,YBR077C,0.0002346558953691456
75,YML060W,2.2361692528541887e-90
76,YER157W,0.0052479770926136095
77,YER137C,0.0008632839134237438
78,YGR205W,0.0006496804477201728
79,YJL082W,0.0001880095722974951
80,YMR267W,0.0004292147384531467
81,YMR246W,0.00029745833460699837
82,YER151C,0.00022175329344213272
83,YEL036C,4.242392053533646e-95
84,YDR111C,2.288450150467652e-112
85,YJR043C,8.601457626994467e-05
86,YMR263W,0.0041596368549011616
87,YBR135W,0.001345635479675962
88,YBL086C,9.111356943805068e-113
89,YDR373W,0.0019620740187072934
90,YOR324C,0.016901811540426543
91,YKR005C,0.0012562781134615219
92,YLR384C,2.1060851227209933e-05
93,YCL044C,0.00029911048097491035
94,YKL183W,0.0006552103163186863
95,YNL311C,8.947713860683614e-05
96,YGL104C,0.0006940663859240356
97,YHR041C,0.010253163653645944
98,YJL159W,0.001984718061366563
99,YAR033W,0.0001252795201301315
100,YNL211C,0.0014864497201811482
101,YER163C,4.6860422282042145e-06
102,YJL036W,0.017445201456826633
103,YGR042W,0.005615364379043413
104,YML123C,0.0038957114545198433
105,YCL045C,0.0038957114545198433
106,YLR388W,2.956318943917015e-112
107,YGL138C,3.1447712471936794e-05
108,YIL110W,0.0030842486546935203
109,YHR178W,0.00016132438776810155
110,YGL124C,0.0003298643854445038
111,YPR018W,0.0009274477571891097
112,YPL018W,8.43655222021857e-05
113,YNL092W,0.02197722150468227
114,YBL092W,9.388243163530864e-05
115,YJL187C,1.7190344429441365e-95
116,YBR186W,0.0016752461619165837
117,YKL197C,4.467446183723443e-88
118,YDR224C,3.2018553576212143e-112
119,YOR064C,0.0034010114448516033
120,YBR146W,1.4632788363951473e-112
121,YHR117W,0.00011043476839637919
122,YOR066W,4.443045014681137e-05
123,YER119C,0.003938624677903177
124,YER059W,0.005361977028092562
125,YMR299C,3.727776900105219e-112
126,YPR029C,0.004289149988441737
127,YNL316C,4.443439298236119e-100
128,YOL146W,0.0029394049587380417
129,YKL075C,1.6226221703009633e-82
130,YBR035C,0.0384944076599722
131,YNL158W,0.0007050026188859686
132,YKL134C,0.0006521534179319384
133,YLL018C,0.0
134,YDL085W,0.0007732894220304037
135,YDR530C,0.003738692085970679
136,YJR005W,0.0009319923067739258
137,YBR154C,3.370992091847444e-05
138,YLR448W,8.139271572603365e-113
139,YDR532C,0.001271617355644333
140,YOR289W,0.00719075868086634
141,YLR021W,0.0007050026188859686
142,YER186C,0.00105435212089071
143,YPL125W,0.0008030306461152994
144,YPR058W,2.0334654408213425e-05
145,YGL180W,9.130963492459237e-100
146,YLR461W,0.003363368699633463
147,YGL153W,0.007478655413751138
148,YLR025W,0.0017638535933204426
149,YIL117C,0.002336673161327289
150,YGL010W,0.00234285575710126
151,YDR126W,0.00010735340994959249
152,YOL148C,0.0006521534179319384
153,YPL064C,0.0013186128754083138
154,YJL110C,0.004265910233855991
155,YNL037C,0.00629534244763805
156,YGR142W,0.0009994534102537834
157,YNL292W,1.8241551148684122e-05
158,YBR038W,0.0003274471099355648
159,YOR271C,0.0006159407830134564
160,YHR144C,0.006560752820739205
161,YCL010C,0.004826209457035925
162,YPR194C,3.8755018968271202e-112
163,YDL049C,5.519312504419025e-93
164,YOL070C,0.0006521534179319384
165,YKR029C,5.215198416502053e-112
166,YAR003W,0.0004397432409441057
167,YJR115W,3.2986458237450384e-112
168,YGL018C,0.0021395715870709603
169,YER078C,0.0005244352167123368
170,YBR269C,2.0039280513489698e-112
171,YGR277C,0.00032123639418075257
172,YML075C,1.8241551148684122e-05
173,YDR425W,0.00516838194159149
174,YMR276W,0.0001995690277510624
175,YGR204W,0.0006521534179319384
176,YEL066W,0.11890803758146445
177,YJR134C,0.009828441534613954
178,YHR151C,1.3676720204188243e-112
