index,protein,bc
965,YDL237W,321133.5473370422
966,YMR047C,344.938061018889
967,YJR103W,0.0
968,YHR094C,0.0
969,YLR099C,2456.0
970,YKL191W,0.0
971,YLR064W,0.0
972,YBR008C,37413.32062726102
973,YOL131W,2456.0
974,YKL221W,2456.0
975,YNL246W,690.8201502050321
976,YIR034C,0.0
977,YIL061C,0.0
978,YPL097W,7364.0
979,YBL001C,0.0
980,YDR348C,0.0
981,YHR074W,325080.35098610405
982,YER022W,0.0
983,YDR314C,0.0
984,YNL175C,0.0
985,YDR073W,2456.0
986,YDR349C,0.0
987,YOR065W,3592.424326260779
988,YFR055W,15921.819426977772
989,YGR268C,0.0
990,YFR002W,0.0
991,YDR212W,0.0
992,YKR090W,51.07286035305586
993,YPL201C,0.0
994,YBR004C,436.2719563355572
995,YDL166C,4484.565365795762
996,YER178W,4910.0
997,YLR081W,0.0
998,YMR319C,0.0
999,YLR092W,673.3647721078931
1000,YOR181W,0.0
1001,YMR258C,7364.000000000002
1002,YAL064W,0.0
1003,YOR209C,4411.08414076355
1004,YDL193W,0.0
1005,YNL165W,0.0
1006,YOR259C,12518.325008999402
1007,YDR005C,0.0
1008,YML027W,3522.731731624631
1009,YLR297W,0.0
1010,YBR242W,30199.794410124174
1011,YGL250W,2828.224092306316
1012,YGR211W,3133.8633582627435
1013,YCL009C,45677.001640905815
1014,YOR264W,0.0
1015,YGR251W,0.0
1016,YBR024W,230.66166291201182
1017,YLR116W,1391.2172150740153
1018,YGR058W,0.0
1019,YKR044W,5217.806764893954
1020,YIL076W,0.0
1021,YOR061W,0.0
1022,YJR075W,0.0
