rank,protein,driver_score
154,YOL010W,0.6227771752669371
155,YDL005C,0.6226818762906069
156,YGL234W,0.6225832885433612
157,YLR397C,0.6220263678710973
158,YJR067C,0.6215600891367585
159,YGR170W,0.6212134548186907
160,YDR324C,0.6211996980562378
161,YPR174C,0.6211663313264794
162,YDR314C,0.6209508734933521
163,YCR004C,0.620879304556983
164,YJR011C,0.6202881571672979
165,YML130C,0.620031124440284
166,YGR063C,0.6197795366584444
167,YMR241W,0.6193010635217221
168,YNR037C,0.6191515790574816
169,YLR314C,0.6188222086752533
170,YJL084C,0.6185709600324342
171,YDR221W,0.6180657646513236
172,YKR025W,0.6179980513338313
173,YBR281C,0.6175562151957432
174,YLL026W,0.6171198466722051
175,YBR049C,0.6167836396843779
176,YBR059C,0.6166311056900086
177,YJR007W,0.6163977880840917
178,YML072C,0.6159516038816439
179,YBR107C,0.6157953710349546
180,YBR291C,0.615373511200041
181,YGL064C,0.6150858242313075
182,YDL092W,0.6149753068373929
183,YPR159W,0.6148441314105834
184,YGR094W,0.6144157525526088
185,YGR075C,0.6143644565373078
186,YCR024C-A,0.6140050672203217
187,YJL139C,0.6135367271156771
188,YBL008W,0.6132165224737834
189,YNL102W,0.6128700516328427
190,YBR249C,0.6126013833609847
191,YPR189W,0.612578269309363
192,YJL207C,0.6123668825687382
193,YNL280C,0.6120104091983506
194,YPR111W,0.6115889526193974
195,YPL184C,0.611160870812676
196,YDR145W,0.6111347490925815
197,YHR191C,0.6109384709439107
198,YDR224C,0.6107307898432256
199,YLR189C,0.6106104362411935
200,YPL031C,0.6101925863408698
201,YNL272C,0.6099782320148462
202,YPL043W,0.6099090095493402
203,YGL028C,0.6097526334033361
204,YLR033W,0.6095984474059711
205,YDR186C,0.6094208425436705
206,YDR005C,0.6092469049033008
207,YLR072W,0.6089017105992807
208,YMR307W,0.6085675751949092
209,YHR118C,0.60846447972407
210,YCL039W,0.6081393875571511
211,YER016W,0.6078277579600947
212,YBL047C,0.607513538587765
213,YIL061C,0.6070653389360663
214,YDR427W,0.6070264499373077
215,YKL144C,0.6070105884407739
216,YJR143C,0.6066981534797676
217,YPL049C,0.6065460895676608
218,YDR472W,0.6061609197867451
219,YDR364C,0.6061159623229256
220,YMR208W,0.6060381142225015
221,YGR158C,0.6058702981141384
222,YLR292C,0.6056622279445943
223,YLR060W,0.6053168495226823
224,YJL041W,0.6049876235781624
225,YGL195W,0.6048128656902185
226,YDL122W,0.6046102723037978
227,YKR001C,0.604266888232354
228,YDL113C,0.6042585756263662
229,YPR144C,0.604088132497108
230,YBR115C,0.6039813307673528
231,YNL081C,0.6037152915903952
232,YNL007C,0.6036185351968045
233,YNL265C,0.6034916581422037
234,YDR310C,0.6031836670404994
235,YEL041W,0.6028506738548234
236,YER006W,0.602613607130054
237,YJR140C,0.6025650629863253
