index,protein,dc
526,YKL052C,5.899
527,YGL073W,2.9495
528,YDR507C,2.9495
529,YMR190C,5.899
530,YMR076C,2.9495
531,YIL079C,11.798
532,YEL056W,2.9495
533,YMR104C,5.899
534,YMR014W,26.5455
535,YGR198W,2.9495
536,YOR288C,5.899
537,YJL019W,23.596
538,YPR162C,2.9495
539,YOL051W,179.9195
540,YER133W,2.9495
541,YIR023W,14.7475
542,YBR231C,2.9495
543,YKL193C,2.9495
544,YLR258W,2.9495
545,YGR009C,5.899
546,YDR195W,11.798
547,YIL112W,11.798
548,YOR337W,100.283
549,YLR274W,5.899
550,YML028W,2.9495
551,YGL246C,2.9495
552,YNL233W,5.899
553,YJR076C,5.899
554,YMR012W,2.9495
555,YDL132W,14.7475
556,YGL106W,23.596
557,YJR053W,2.9495
558,YER107C,5.899
559,YGR156W,5.899
560,YHR169W,11.798
561,YMR127C,5.899
562,YPL154C,2.9495
563,YKL009W,44.2425
564,YHR099W,94.384
565,YFL039C,412.93
566,YNL030W,103.2325
567,YBR245C,2.9495
568,YDR463W,32.4445
569,YHR207C,5.899
570,YCR020W-B,5.899
571,YJR132W,2.9495
572,YMR212C,64.889
573,YGL112C,2.9495
574,YDR098C,123.879
575,YPL116W,11.798
576,YDR191W,2.9495
577,YDR207C,2.9495
578,YCL016C,2.9495
579,YBL097W,2.9495
580,YOR127W,5.899
581,YER092W,2.9495
582,YMR100W,73.7375
583,YML127W,8.8485
584,YMR223W,129.778
585,YGR274C,8.8485
586,YHR158C,20.6465
587,YGL066W,2.9495
588,YOR227W,2.9495
589,YML098W,5.899
590,YGR209C,109.1315
591,YPL235W,2.9495
592,YDL106C,67.8385
593,YDL056W,61.9395
594,YPL082C,5.899
595,YJR064W,5.899
596,YOR123C,50.1415
597,YOR304W,23.596
598,YLR321C,2.9495
599,YOR358W,2.9495
600,YBR157C,2.9495
601,YML081W,5.899
602,YBR025C,5.899
603,YIL021W,2.9495
603,YIL021W,5.899
604,YKR035W-A,11.798
605,YOL145C,5.899
606,YHR127W,2.9495
607,YDR181C,2.9495
608,YDR227W,2.9495
609,YHR187W,5.899
610,YGL113W,11.798
611,YJR093C,11.798
612,YBR103W,32.4445
613,YIL143C,11.798
614,YJR066W,20.6465
615,YLR278C,5.899
616,YML065W,2.9495
617,YFL036W,115.0305
618,YGR126W,2.9495
619,YML010W,2.9495
620,YHR067W,8.8485
621,YPR052C,2.9495
622,YPL138C,2.9495
623,YLR148W,115.0305
624,YLR310C,5.899
625,YMR043W,26.5455
626,YPR086W,348.041
627,YPR135W,2.9495
628,YJL115W,2.9495
629,YLR058C,2.9495
630,YPL119C,17.697
631,YDR080W,41.293
632,YGR056W,5.899
633,YLR103C,2.9495
634,YDR328C,2.9495
635,YLR371W,11.798
636,YIR010W,2.9495
637,YML015C,5.899
638,YOR020C,5.899
639,YMR227C,2.9495
640,YHR216W,2.9495
641,YER018C,2.9495
642,YDL185W,35.394
643,YJR042W,2.9495
644,YKL042W,2.9495
645,YER169W,5.899
646,YCL051W,144.5255
647,YPL146C,76.687
648,YBL002W,2.9495
649,YKR048C,100.283
650,YHR054C,153.374
651,YDR190C,20.6465
652,YDL074C,2.9495
653,YLR305C,5.899
654,YLR355C,5.899
655,YOR295W,5.899
656,YDL055C,8.8485
657,YKL002W,47.192
658,YHR090C,47.192
659,YJL081C,5.899
660,YOR038C,300.849
661,YNL273W,5.899
662,YOL012C,26.5455
663,YLR071C,5.899
664,YDR293C,2.9495
665,YOR083W,8.8485
666,YNL333W,47.192
667,YHR008C,5.899
668,YHR146W,23.596
669,YLR115W,38.3435
670,YER177W,17.697
671,YPL124W,2.9495
672,YDR392W,2.9495
673,YGR186W,5.899
674,YMR035W,8.8485
675,YAR018C,29.495
676,YLR085C,23.596
677,YIL035C,17.697
678,YGR047C,41.293
679,YBR215W,64.889
680,YBR289W,38.3435
681,YBR107C,8.8485
682,YDR451C,32.4445
683,YHR084W,2.9495
684,YDL042C,147.475
685,YPR108W,17.697
686,YMR117C,2.9495
687,YNL021W,2.9495
688,YER093C,26.5455
689,YIL128W,2.9495
690,YHR172W,150.4245
691,YDL116W,44.2425
692,YDR155C,14.7475
693,YDR356W,5.899
694,YGL075C,2.9495
695,YGL252C,0.0
696,YMR001C,0.0
