index,protein,ec
276,YGL093W,0.000609793355592207
277,YOL067C,0.003085964787653442
278,YPL007C,0.004639093485988364
279,YFR002W,0.011818931424058458
280,YDR212W,0.004638848184985703
281,YNL330C,0.01572211208786109
282,YKL110C,9.266687302187078e-06
283,YIL094C,0.00038276748860719247
284,YBR130C,0.0021748160601318227
285,YOR326W,0.0078789965087001
286,YML027W,0.024169554944488494
287,YMR168C,0.001768902444825125
288,YEL032W,0.07166854804738262
289,YOR058C,0.006000297020120022
290,YGR252W,0.11859407310736401
291,YJL061W,0.000833566311192224
292,YCL009C,0.00038276748860719247
293,YKL074C,0.001086097926618982
294,YER070W,0.00038276748860719247
295,YBL003C,0.18300322068754227
296,YJL168C,0.030197553342001728
297,YNL265C,0.004639093485988364
298,YGL201C,0.0724753802293214
299,YPL001W,0.0183988087067677
300,YNL025C,0.003085964787653442
301,YOR046C,0.00038276748860719247
302,YOR061W,0.05158830460786206
303,YJL014W,0.0012713121116818854
304,YOR370C,0.00040023275313477334
305,YOR194C,0.0056163372394978164
306,YER125W,0.0009554556266997568
307,YBL104C,0.001965603804489691
308,YDR469W,0.006032197291224472
309,YLR024C,8.268949571904731e-05
310,YDR145W,0.0893840936082118
311,YLR389C,0.0013018334620171369
312,YJR140C,0.019881984679771772
313,YCR033W,0.007526784007771616
314,YFL037W,0.0031076078975530684
315,YOL068C,0.010213023070876001
316,YLR385C,0.0021680782677815477
317,YKR008W,0.20211497669822948
318,YOR213C,0.004405056448590916
319,YER030W,0.005029215741145198
320,YDR164C,0.0010472200158924126
321,YNL287W,0.004300607652264454
322,YDL077C,0.0010472200158924126
323,YEL007W,0.004266685806860062
324,YLR096W,0.004628148247572198
325,YEL018W,0.010255430725486181
326,YPL101W,9.266687302187078e-06
327,YFL024C,0.028847809484954717
328,YMR094W,0.001768902444825125
329,YGL172W,0.0009873532513032732
330,YJL039C,0.001713072189062933
331,YNL201C,0.002220957254869495
332,YPL226W,0.00038276748860719247
333,YPR133C,0.018481966228630225
334,YNR009W,0.00393947033769619
335,YJL025W,0.008497407583391398
336,YPL180W,0.004556954523324597
337,YDL156W,0.02477025374064165
338,YOL078W,0.0033468472596409993
339,YIL144W,0.0007635802957032563
340,YPR031W,0.03120650520720232
341,YBR279W,0.0044696305953326925
342,YER176W,0.0005959295596903259
343,YKL068W,0.0002237729556000169
344,YBR198C,0.085242968920883
345,YDR460W,0.0056163372394978164
346,YER025W,0.011836106976149577
347,YGL237C,0.1422544590976584
348,YLR418C,0.0044696305953326925
349,YML114C,0.017305470931312284
350,YJR082C,0.0014620720465997532
351,YER040W,0.003701639003244825
352,YIL127C,0.01106937970692018
353,YKL059C,0.0015509465164247301
354,YAL043C,0.0015509465164247301
355,YNL206C,0.11733433515077822
356,YOL116W,0.0056163372394978164
357,YLR045C,0.04583640141976382
358,YIL026C,0.019209730980429714
359,YGR237C,0.0010472200158924126
360,YGL092W,0.000833566311192224
361,YMR312W,9.266687302187078e-06
362,YLR455W,0.01955542466887274
363,YGL150C,0.06042652442119048
364,YLR015W,0.0025613406945188565
365,YIL129C,0.0029210594311894476
366,YKR077W,0.0033502130548084537
367,YLR212C,0.001999654523903938
368,YGR119C,0.003868423595196854
369,YER167W,0.00540242762033114
370,YER111C,0.12874910209389434
371,YBR114W,0.009534177403155078
372,YGR270W,0.1505632217600079
373,YCL061C,0.0034137526573357517
374,YNL050C,0.0056163372394978164
375,YIL091C,0.0013441716170488297
376,YFL013C,0.02246901541853288
377,YPL055C,0.04173890417447026
378,YJR017C,0.008599635014582621
379,YDR176W,0.024566358589201823
380,YDR440W,0.007707862222243784
381,YHL025W,0.008966550294306269
382,YDR448W,0.0279521414699928
383,YPL086C,0.00035612012148513437
384,YPL237W,0.005453042467422365
385,YAL031C,0.0010472200158924126
386,YGL151W,0.013298987858529444
387,YOR174W,0.008702302027151257
388,YDL002C,0.01629101897717137
389,YPL137C,0.0010472200158924126
390,YML074C,0.06562207900666463
391,YGL019W,0.048437232532934534
392,YAL016W,1.539026067701429e-49
393,YFL049W,0.021860977772200356
394,YOL017W,0.004639093485988364
395,YJL041W,0.0025288073652811726
396,YPL016W,0.016110959176164213
397,YPL204W,0.003710905690547012
398,YKL080W,0.00038276748860719247
399,YHR200W,0.00038276748860719247
400,YBR225W,7.119372424760089e-05
401,YJL176C,0.04215303321572865
402,YHR205W,0.0
403,YML102W,0.00769227762034813
404,YMR146C,0.003917840163657262
405,YDL139C,0.0003373639992671479
406,YBR088C,0.01876165732726831
407,YNL261W,0.020111397486480317
408,YKL038W,0.018442393341208826
409,YKL028W,0.0056163372394978164
410,YGR140W,0.06797912555932545
411,YBL052C,0.05750114392440549
412,YDR359C,0.03568290813594129
413,YHR119W,0.031293153674386086
414,YPL049C,0.022998789974440915
415,YIL015W,0.00040023275313477334
416,YGL071W,0.09745719441618488
417,YPL181W,0.0037305796603480977
418,YKR028W,4.6141194737672064e-05
419,YPL255W,0.0027485181018554222
420,YOL090W,0.021971970896954084
421,YIL115C,0.0002237729556000169
422,YPR040W,7.119372424760089e-05
423,YLR272C,0.010255430725486181
424,YOR110W,0.024378083293340378
425,YLR347C,0.0173632803394064
426,YOL135C,0.003085964787653442
427,YDL001W,7.119372424760089e-05
428,YDR489W,0.000814218156646846
429,YML016C,0.002391391632941242
430,YKL057C,0.000833566311192224
431,YMR075W,0.07400267798949853
432,YLR150W,4.6141194737672064e-05
432,YLR150W,0.001086097926618982
433,YNL004W,0.004761966336101708
434,YJR095W,0.00393947033769619
435,YNL309W,0.0056163372394978164
436,YLR005W,0.04592850121675195
437,YPL129W,0.0015509465164247301
438,YNL222W,0.000609793355592207
439,YDR130C,0.0012713121116818854
440,YJL008C,0.000833566311192224
441,YML103C,0.0516567904413663
442,YLR449W,0.0076310530060478415
