rank,protein,driver_score
160,YOR342C,0.6308816254194022
161,YOL131W,0.6307298702898363
162,YAR003W,0.630476951783619
163,YBR213W,0.6301688968041879
164,YGR129W,0.629883020096981
165,YHL044W,0.6296068492423086
166,YOL052C,0.6293764432225186
167,YCR057C,0.6290819366202371
168,YDR487C,0.6287408117636922
169,YNL062C,0.6283857474384003
170,YCR072C,0.6280792384606865
171,YLR237W,0.627786447331402
172,YNL321W,0.627396980065137
173,YOR387C,0.6271161578444631
174,YDL213C,0.6268865147865905
175,YPL097W,0.626577676814146
176,YNL094W,0.626282115263
177,YDR176W,0.6261787023832194
178,YIR014W,0.6259021441073517
179,YDR131C,0.6256367343648435
180,YLR461W,0.6253676162901036
181,YNL037C,0.6250482633974339
182,YIR009W,0.6248903518584489
183,YLR351C,0.6245349437453473
184,YHL042W,0.6242013010184286
185,YNL220W,0.623980291616319
186,YKR106W,0.6237100844239982
187,YDR266C,0.6234397752443551
188,YLR194C,0.6231912153560354
189,YDL217C,0.6228923556153666
190,YKL124W,0.6225983774086954
191,YMR094W,0.6223465367952077
192,YDR416W,0.6221081878125779
193,YDR224C,0.622067611532497
194,YJR159W,0.6218161707984934
195,YER081W,0.6216918108536059
196,YBL059W,0.6215463987728042
197,YJL153C,0.6213671269163579
198,YJR154W,0.6210455005564295
199,YGR058W,0.6209617461491145
200,YEL006W,0.6206751143698913
201,YFR051C,0.6203699131466694
202,YDR515W,0.6200833189747867
203,YPL163C,0.6198402772988971
204,YIL049W,0.6195628409338713
205,YKL195W,0.6193670079245911
206,YDR319C,0.61906801284931
207,YOL152W,0.6188444809503983
208,YER175C,0.6186376043632181
209,YKL154W,0.618353729340274
210,YER064C,0.6181084167448502
211,YHR114W,0.6180656515345844
212,YPR183W,0.6179364931193455
213,YDR092W,0.6176248371203753
214,YJR075W,0.6173732804046133
215,YKL114C,0.6171191295161255
216,YLR453C,0.6169869454331458
217,YLR329W,0.6168688796293605
218,YIL070C,0.6167656227274402
219,YJR112W,0.6165132886448785
220,YBR180W,0.616246748107316
221,YIL078W,0.6160405158509067
222,YBR193C,0.615829555778052
223,YBR120C,0.6157228212864189
224,YDR317W,0.6154571626575952
225,YEL047C,0.6152338094644387
226,YBR129C,0.6149943659066369
227,YDL218W,0.6147179768420507
228,YGR121C,0.6145143444436078
229,YHR111W,0.6142886817950706
230,YDR034C,0.6141232047519212
231,YOR286W,0.6140964551374198
232,YCL051W,0.6138454573915693
233,YBR228W,0.6136740898242011
234,YMR295C,0.6134830661818695
235,YBL097W,0.6132237960995794
236,YMR080C,0.6130276778670578
237,YFL002C,0.6127773089863053
238,YJR024C,0.6125539026995349
239,YER047C,0.6123178357119355
240,YDR542W,0.612084545803408
241,YLR288C,0.612007283166181
242,YGR253C,0.6118889170620571
243,YLR245C,0.61171544273845
244,YER023W,0.6115577996237186
245,YMR215W,0.6112819910029329
246,YLR242C,0.6110857314423324
247,YLR257W,0.6108383721172576
248,YNL227C,0.6106605964442714
249,YDL123W,0.6104435912009828
250,YOR140W,0.6102509549916395
251,YIL144W,0.6101687254755936
252,YDR305C,0.610013199777852
253,YFL054C,0.6098170931753478
254,YPL151C,0.609678836747408
255,YCL025C,0.6094982334852271
256,YLR196W,0.6092565813226501
257,YGL145W,0.6090759438894435
258,YJL076W,0.6089294144800174
259,YIL143C,0.6086863430656909
260,YHR045W,0.6084400440834268
261,YNL021W,0.608271433645581
