index,protein,ec
177,YPL003W,3.8954911236078654e-07
178,YIL078W,0.0006137114346862065
179,YNR026C,3.4522250929635054e-05
180,YNR035C,0.0005149204439341722
181,YPR185W,3.7163145406516014e-05
182,YJL055W,1.0645916749168681e-05
183,YPR171W,0.004276482929810007
184,YLL034C,0.03511778461227619
185,YNL090W,1.5664088744275978e-06
186,YNL214W,2.395570570642185e-05
187,YNL252C,0.001796979055422527
188,YGL055W,0.001332184135544807
189,YKL122C,0.001107122049431006
190,YPR164W,6.214746625950339e-06
191,YER002W,0.00025052595239253753
192,YOL111C,0.0005451048271004718
193,YIL055C,2.681151536083497e-05
194,YER075C,5.253158416246637e-06
195,YGL211W,1.3949550774131143e-05
196,YER132C,2.9851071674942886e-05
197,YML034W,0.00069082120608384
198,YBR053C,8.567334571159747e-06
199,YHR020W,0.0027181681694844148
200,YMR131C,0.00013314176176090257
201,YCL034W,2.253782594515856e-06
202,YGR177C,2.117936170814445e-05
203,YEL062W,5.4979616142900064e-05
204,YDL125C,1.622505386864862e-05
205,YIR019C,1.1173195747912882e-05
206,YLL026W,0.0002519288517840659
207,YGR262C,4.516909620776665e-06
208,YEL033W,0.00026243664448034735
209,YLR034C,0.00022436047398608782
210,YJR121W,0.0001612913928901235
211,YBR133C,3.69759374044263e-05
212,YLR197W,0.05430816327608226
213,YIL042C,8.41564248096671e-06
214,YGL190C,0.00033858989051344644
215,YOL152W,0.000253042580613178
216,YBR158W,0.00012705568522426356
217,YNL125C,0.0007573413330709159
218,YER003C,1.841216730485436e-05
219,YGR060W,5.956303642625052e-06
220,YHR038W,2.693360924553593e-06
221,YDR046C,5.798259397204585e-06
222,YLR010C,0.001563432966421997
223,YMR201C,3.818683853497099e-06
224,YBR164C,7.276895752076896e-05
225,YLR102C,6.678162969567516e-05
226,YPR162C,0.004023565261293948
227,YMR105C,9.219715123169641e-05
228,YGL108C,0.00020619315131544178
229,YLR132C,2.16286284685525e-05
230,YJR125C,0.0017683398517018964
231,YNL053W,0.0
232,YDR299W,0.02996947587943043
233,YDL157C,0.00012970686057675802
234,YML124C,0.0029155541770459407
235,YBL013W,6.563035991619651e-06
236,YAR031W,3.146024719759122e-05
237,YHR099W,0.0022749306896954922
238,YCL056C,0.0001562984679125464
239,YAL051W,0.0015124935640657051
240,YGR128C,0.018159141887972734
241,YJL225C,1.0032208761805282e-05
242,YMR264W,0.0006290402967284743
243,YMR163C,0.0014794130677806261
244,YJR102C,1.2933021186768934e-05
245,YLR067C,0.0008964208663734106
246,YJL171C,6.772102871591193e-06
247,YJR058C,1.422674997388181e-05
248,YLR098C,2.0042070670692228e-05
249,YNL012W,6.169276024808605e-05
250,YJR064W,4.896933528690203e-05
251,YCR047C,0.00013737937471657382
252,YBR025C,0.0006180327391169845
253,YLL046C,2.440120222454052e-05
254,YPL002C,4.242758481544368e-06
255,YLR386W,1.2476134641187368e-05
256,YLR086W,1.0946465903649814e-05
257,YCR034W,5.335930275174728e-05
258,YEL064C,3.5961044134837943e-06
259,YGR084C,0.0012259540670450896
260,YFL034C-A,0.019752406268340225
261,YMR118C,0.0001644166295183571
262,YBR255W,1.9241293878785874e-06
263,YBR122C,0.00198768323904729
264,YGL043W,0.00012870934425166628
265,YLR103C,3.638892873927718e-06
266,YPR073C,8.384152125242122e-05
267,YAL064W-B,2.128214235262495e-07
268,YPL262W,3.52936873733636e-05
269,YLR421C,0.0007456564428554043
270,YPL236C,4.803918038857534e-07
271,YDR427W,0.000743868155564765
272,YBR238C,0.0008878300857528185
273,YLR422W,0.000743951010342438
274,YKL063C,7.133091780263527e-07
275,YNL187W,1.0737952190448702e-05
276,YDR367W,5.546410854464491e-08
277,YPL072W,3.265753032232433e-05
278,YDR456W,7.773894825225658e-06
279,YDR190C,0.0010795838976509246
280,YOR191W,0.0010650874692062896
281,YJR031C,7.9576324919032e-06
282,YMR178W,4.9153714943010835e-05
283,YLL060C,7.07091765926384e-06
284,YCL029C,3.823521738185574e-07
285,YDR246W,3.168716765808463e-05
286,YLR115W,0.0053437132456421845
287,YJL219W,2.892151661928109e-06
288,YPR045C,0.00013520380179099246
289,YHR046C,8.505862786320762e-06
290,YMR117C,8.909775906843045e-06
291,YKL007W,0.00018734961948937813
292,YDR004W,0.0002169143059808352
293,YDL116W,2.7768277614330672e-05
294,YLR063W,4.177761016143987e-05
295,YGR135W,0.0002407032178338066
296,YMR240C,0.0012164530159556699
297,YDR432W,0.0019356275397493866
298,YJL048C,4.722406124340598e-06
299,YDR068W,0.0005279576400189915
300,YBR248C,5.754843841153353e-06
301,YLR187W,0.0008976978123076086
302,YDL183C,0.0003125875973647521
303,YJL196C,2.3865007868339476e-06
304,YOL162W,7.016639350533834e-06
