index,protein,ec
70,YGL215W,0.0004280042481174934
71,YGR040W,0.04048896253264128
72,YOL123W,0.017137749534598245
73,YOL082W,0.023990905892737766
74,YCL017C,0.00023868444902118752
75,YJL111W,0.0042184385887438225
76,YCR004C,0.002897288591081642
77,YIL142W,0.004785645712286123
78,YPR070W,0.025098869192927264
79,YFR028C,0.15024223572285145
80,YAR014C,0.07421861534348137
81,YDR052C,9.168588951148516e-79
82,YPR030W,0.03437357878193671
83,YOR028C,0.0152119551248999
84,YMR028W,0.0022015921259429063
85,YDR216W,0.07078776626396656
86,YOL041C,0.051591979032098695
87,YHR019C,0.000767023676258679
88,YER129W,0.08116190424391878
89,YMR290C,0.09782846041802883
90,YBR140C,0.018911933493159724
91,YJR019C,0.0014620629970894027
92,YJL154C,0.01837241012054886
93,YJL165C,1.3926137584293735e-05
94,YPR160W,0.008519118397924793
95,YHL018W,0.02158732909759715
96,YOL081W,0.018911933493159724
97,YMR229C,0.03445428950636703
98,YKL159C,0.00036862812294120693
99,YHL032C,2.4238189564938173e-65
100,YDL149W,0.06119251143631392
101,YMR246W,0.0003388914002637264
102,YBR097W,1.6971531877318572e-66
103,YGR095C,0.0002576635962136633
104,YPL093W,0.10992301751149905
105,YOR267C,0.060628258073356214
106,YBR135W,0.021620452481117526
107,YGR179C,0.0052487870964871225
108,YDR373W,2.6510770549966273e-78
109,YPL254W,0.030144233989978744
110,YFR029W,0.0006592563914868023
111,YNL128W,7.974633609121846e-05
112,YLR384C,0.0152119551248999
113,YPL089C,0.010496795370407432
114,YKL172W,0.05614978843836665
115,YDR032C,0.0033220887640771587
116,YOR373W,0.010345723282421417
117,YDL003W,6.407628113784097e-05
118,YNL236W,0.025098869192927264
119,YOR290C,0.025098869192927264
120,YGR241C,0.00496397657351083
121,YPR129W,0.0032112693876150396
122,YOR244W,0.015502045365704088
123,YKL171W,0.04659975139912605
124,YOL054W,0.040564082079933055
125,YPL128C,0.002737109063630207
126,YLR273C,0.005247487953012529
127,YLR381W,0.0052487870964871225
128,YAL040C,0.004383940765868378
129,YKL035W,0.05319410182568827
130,YJL151C,0.010184913533095507
131,YDR177W,0.0010877738058515823
132,YDR388W,0.004536882477684552
133,YDL143W,0.0040262056531135204
134,YFL008W,6.407628113784097e-05
135,YER032W,0.006195839500074847
136,YBL066C,0.01285191544954888
137,YBL085W,0.07578591698280766
138,YOR257W,0.017782860892399447
139,YHR082C,0.056656766237386025
140,YDL160C,0.002898641574357624
141,YJL187C,0.11679012119714931
142,YMR199W,0.004492977091044635
143,YGR271W,0.03445129625655978
144,YLR079W,0.03914236550707294
145,YBR079C,0.004590567088372844
146,YJR072C,0.008214039212713275
147,YER059W,0.006553628157961493
148,YPR029C,0.005145942980920841
149,YHR186C,0.07356114881495113
150,YDL134C,0.0042954560279423355
151,YOL069W,0.00425297935757521
152,YCR086W,0.08535184007534587
153,YDL047W,0.012505715190333411
154,YBR010W,0.004190481110860725
155,YKL134C,0.00046289031797714985
156,YGR238C,0.07421861534348137
157,YJL042W,0.06769092480909047
158,YDL085W,0.0006175051303247214
159,YBR154C,0.013811505936074692
160,YGL208W,0.004849393914855455
161,YDR022C,0.00040074258803177534
162,YCR046C,0.001302044649246995
163,YNL161W,0.05661755819817392
164,YGL180W,0.00040074258803177534
165,YLR196W,0.08069350845908095
166,YLR025W,5.821706027145625e-05
167,YOL148C,0.034323122744712546
168,YDR188W,0.0042184385887438225
169,YDR085C,0.06769092480909047
170,YIL117C,0.013124173640875517
171,YMR273C,0.0033892388743358183
172,YGR267C,0.015345510628280682
173,YGL206C,0.0022470778346718825
174,YBR211C,0.0052487870964871225
175,YAL035W,0.025098869192927264
176,YCR002C,0.007085302294234028
177,YOL139C,0.006195839500074847
178,YGR142W,0.0006190397353892658
179,YCL030C,0.01988084204506772
180,YLL043W,0.0004610462699910557
181,YBR038W,0.011749890884776652
182,YOR198C,0.010360156949073105
