index,protein,dc
329,YKL214C,3.2738
330,YER052C,6.5476
331,YBL091C,3.2738
332,YKL132C,3.2738
333,YJL184W,3.2738
334,YMR275C,3.2738
335,YJL097W,22.916600000000003
336,YGR075C,6.5476
337,YPL173W,6.5476
338,YMR121C,3.2738
339,YIR035C,3.2738
340,YHR123W,6.5476
341,YIR001C,3.2738
342,YIR033W,49.10700000000001
343,YNR039C,3.2738
344,YER180C,3.2738
345,YIL122W,19.6428
346,YLR291C,268.4515999999997
347,YPL088W,26.190400000000004
348,YLR432W,3.2738
349,YJL058C,29.464200000000005
350,YDR027C,3.2738
351,YGR195W,13.0952
352,YMR139W,19.6428
353,YKL088W,3.2738
354,YDR312W,3.2738
355,YMR059W,3.2738
356,YOR108W,6.5476
357,YOL143C,6.5476
358,YLR266C,3.2738
359,YPR178W,3.2738
360,YGR113W,3.2738
361,YDL084W,13.0952
362,YGR010W,3.2738
363,YPL077C,22.916600000000003
364,YIL045W,3.2738
365,YKL117W,16.369
366,YNL219C,16.369
367,YJL065C,3.2738
368,YOR159C,3.2738
369,YDL144C,3.2738
370,YPL065W,6.5476
371,YMR186W,3.2738
372,YDL053C,3.2738
373,YDR099W,9.8214
374,YCL039W,3.2738
375,YHR121W,9.8214
376,YAL024C,3.2738
377,YLR417W,6.5476
378,YPL037C,3.2738
379,YMR095C,26.190400000000004
380,YKR034W,55.654600000000016
381,YMR047C,16.369
382,YOR160W,16.369
383,YNL263C,26.190400000000004
384,YKL191W,3.2738
385,YOL003C,9.8214
386,YLR442C,9.8214
387,YJL031C,3.2738
388,YIR034C,3.2738
389,YIL007C,6.5476
390,YPL218W,3.2738
391,YBL037W,9.8214
392,YDR477W,6.5476
393,YHR074W,3.2738
394,YLR082C,3.2738
395,YER022W,3.2738
396,YBL078C,13.0952
397,YKL033W,9.8214
398,YML082W,3.2738
399,YDR314C,3.2738
400,YKL025C,13.0952
401,YKL192C,3.2738
402,YDL105W,3.2738
403,YOL129W,6.5476
404,YIL109C,22.916600000000003
405,YLR328W,13.0952
406,YDR330W,13.0952
407,YGR268C,19.6428
408,YOL067C,3.2738
409,YGL051W,6.5476
410,YDL006W,6.5476
411,YDR212W,6.5476
412,YDL166C,6.5476
413,YPL201C,9.8214
414,YFR002W,3.2738
415,YHL031C,6.5476
416,YPL031C,39.28560000000001
417,YDR229W,13.0952
418,YER128W,6.5476
419,YGL086W,3.2738
420,YGL015C,3.2738
421,YNL063W,3.2738
422,YGR188C,3.2738
423,YGR284C,6.5476
424,YEL029C,3.2738
425,YOR181W,3.2738
426,YMR258C,6.5476
427,YOR250C,3.2738
428,YHR033W,3.2738
429,YJL189W,9.8214
430,YMR135C,3.2738
431,YDR364C,3.2738
432,YDR036C,9.8214
433,YPL190C,3.2738
434,YMR168C,3.2738
435,YLR297W,3.2738
436,YDL045C,3.2738
437,YEL032W,3.2738
438,YLR117C,3.2738
439,YDR296W,9.8214
440,YKR068C,16.369
441,YGL250W,16.369
442,YGR086C,13.0952
443,YMR219W,3.2738
444,YJL061W,6.5476
445,YGR211W,9.8214
446,YGR233C,19.6428
447,YDL022W,3.2738
448,YKL074C,6.5476
449,YMR322C,0.0
450,YER146W,9.8214
451,YOR264W,3.2738
452,YER070W,3.2738
453,YCL028W,42.55940000000001
454,YDR473C,19.6428
455,YDR510W,127.6781999999999
456,YIL092W,6.5476
457,YGR082W,3.2738
458,YHR113W,45.83320000000001
459,YPR017C,6.5476
460,YAL005C,3.2738
461,YDL090C,9.8214
462,YGR028W,3.2738
463,YNL251C,3.2738
464,YPL001W,3.2738
465,YJL030W,13.0952
466,YLR146C,6.5476
467,YNL025C,13.0952
468,YJR075W,6.5476
469,YOR370C,22.916600000000003
470,YHR068W,9.8214
471,YOR194C,3.2738
472,YLR032W,3.2738
473,YER125W,45.83320000000001
474,YNR014W,3.2738
475,YDR469W,3.2738
476,YCL033C,6.5476
477,YBR278W,3.2738
478,YLR024C,3.2738
479,YIL085C,3.2738
480,YPR107C,3.2738
481,YLR389C,3.2738
482,YCR068W,9.8214
483,YNL001W,3.2738
484,YFL037W,3.2738
485,YJR021C,3.2738
486,YLR385C,13.0952
487,YLR447C,3.2738
488,YNL307C,3.2738
489,YPL259C,3.2738
490,YER023W,3.2738
491,YGL068W,3.2738
492,YFL009W,6.5476
493,YPR085C,3.2738
494,YDR292C,3.2738
495,YNL315C,19.6428
496,YGR247W,3.2738
497,YDR353W,9.8214
498,YJR101W,3.2738
499,YHL004W,26.190400000000004
500,YML100W,3.2738
501,YER182W,3.2738
502,YER063W,3.2738
503,YDR498C,3.2738
504,YKL181W,3.2738
505,YLR096W,3.2738
506,YBL035C,3.2738
507,YGR223C,3.2738
508,YLR180W,3.2738
509,YPL100W,6.5476
510,YPL135W,16.369
511,YFL024C,3.2738
512,YBR080C,22.916600000000003
513,YML095C,6.5476
514,YGL172W,3.2738
515,YIL065C,13.0952
516,YLL001W,9.8214
517,YDR116C,3.2738
518,YNR029C,3.2738
519,YOR347C,3.2738
520,YJL025W,26.190400000000004
521,YDR386W,3.2738
522,YJR013W,6.5476
523,YCR073C,6.5476
524,YIL144W,16.369
525,YBR241C,9.8214
526,YMR060C,3.2738
527,YGL087C,3.2738
528,YFR047C,3.2738
529,YBL014C,3.2738
530,YBR279W,3.2738
531,YKL068W,6.5476
532,YBR198C,3.2738
533,YER149C,3.2738
534,YDR273W,3.2738
535,YML025C,3.2738
536,YER025W,6.5476
537,YGR149W,6.5476
538,YGL237C,3.2738
539,YJL047C,3.2738
540,YEL042W,13.0952
541,YPL209C,3.2738
542,YGL037C,9.8214
543,YBR223C,3.2738
544,YML114C,3.2738
545,YLL036C,13.0952
546,YDR479C,108.03539999999994
547,YIL095W,13.0952
548,YLR243W,3.2738
549,YOR380W,29.464200000000005
550,YOL059W,9.8214
551,YOL116W,9.8214
552,YGR038W,6.5476
553,YDL031W,3.2738
554,YNL217W,3.2738
555,YIL026C,3.2738
556,YDR441C,3.2738
557,YNL102W,6.5476
558,YMR312W,3.2738
559,YOR178C,6.5476
560,YLR455W,3.2738
561,YLR015W,3.2738
562,YDR284C,16.369
563,YDR113C,3.2738
564,YNL062C,3.2738
565,YLR439W,3.2738
566,YLR212C,3.2738
567,YGR119C,6.5476
568,YJL183W,19.6428
569,YMR294W,9.8214
570,YHR128W,6.5476
571,YBR150C,6.5476
572,YHR026W,3.2738
573,YDR132C,16.369
574,YER026C,3.2738
575,YGR261C,19.6428
576,YGR239C,6.5476
577,YPR191W,3.2738
578,YKL154W,6.5476
579,YEL054C,3.2738
580,YDL190C,19.6428
581,YNL149C,3.2738
582,YLR393W,3.2738
583,YLR424W,29.464200000000005
584,YGR180C,6.5476
585,YDR115W,3.2738
586,YNR075W,3.2738
587,YGR099W,22.916600000000003
588,YER126C,3.2738
589,YDR448W,68.74980000000001
590,YBR131W,3.2738
591,YOR136W,3.2738
592,YDR189W,3.2738
593,YAL036C,13.0952
594,YPR193C,3.2738
595,YOR174W,19.6428
596,YPL144W,6.5476
597,YHL006C,3.2738
598,YGL053W,26.190400000000004
599,YAL016W,6.5476
600,YBR152W,3.2738
601,YLR119W,3.2738
602,YJL041W,3.2738
603,YPL240C,6.5476
604,YKR084C,3.2738
605,YLR315W,6.5476
606,YER106W,3.2738
607,YBR233W,29.464200000000005
608,YBR102C,3.2738
609,YPL204W,3.2738
610,YBL060W,3.2738
611,YHR102W,6.5476
612,YBR260C,13.0952
613,YBL093C,3.2738
614,YBR156C,3.2738
615,YGL096W,3.2738
616,YNL334C,9.8214
617,YLR404W,3.2738
618,YIL152W,9.8214
619,YMR146C,3.2738
620,YGL130W,3.2738
621,YDR480W,36.01180000000001
622,YOR124C,13.0952
623,YGR178C,13.0952
624,YCR030C,3.2738
625,YBR088C,3.2738
626,YDR222W,3.2738
627,YER043C,3.2738
628,YAL046C,9.8214
629,YBR200W,6.5476
630,YFL044C,9.8214
631,YMR079W,22.916600000000003
632,YIL162W,3.2738
633,YGL213C,3.2738
634,YOL149W,9.8214
635,YMR096W,9.8214
636,YGR140W,3.2738
637,YLR423C,186.60659999999982
638,YOR385W,3.2738
639,YMR314W,26.190400000000004
640,YKL103C,42.55940000000001
641,YHR167W,16.369
642,YOR095C,16.369
643,YJR039W,6.5476
644,YDL209C,3.2738
645,YPR182W,6.5476
646,YPL049C,78.57119999999999
647,YPR143W,6.5476
648,YOR284W,39.28560000000001
649,YGL071W,6.5476
650,YGL240W,3.2738
651,YHR066W,3.2738
652,YCR051W,3.2738
653,YPL164C,3.2738
