dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
116,580240,S000000214,HHT1,NE,,SGD
116,580240,S000000215,IPP1,E,,SGD
116,580240,S000000216,,NE,,SGD
116,580240,S000000217,,NE,,SGD
116,580240,S000000218,GRX7,NE,,SGD
116,580240,S000000219,MNN2,NE,,SGD
116,580240,S000000220,,NE,,SGD
116,580240,S000000221,KAP104,NE,,SGD
116,580240,S000000222,GAL7,NE,,SGD
116,580240,S000000223,GAL10,NE,,SGD
116,580240,S000000224,GAL1,NE,,SGD
116,580240,S000000225,FUR4,NE,,SGD
116,580240,S000000226,POA1,NE,,SGD
116,580240,S000000227,CHS3,NE,,SGD
116,580240,S000000228,SCO2,C,,SGD
116,580240,S000000229,OLA1,NE,,SGD
116,580240,S000000230,ETR1,NE,,SGD
116,580240,S000000231,,NE,,SGD
116,580240,S000000232,YPK3,NE,,SGD
116,580240,S000000233,CDS1,E,,SGD
116,580240,S000000234,RKM3,NE,,SGD
116,580240,S000000235,RPL4A,NE,,SGD
116,580240,S000000236,,NE,,SGD
116,580240,S000000237,EDS1,NE,,SGD
116,580240,S000000238,HMT1,NE,,SGD
116,580240,S000000239,PDX3,NE,,SGD
116,580240,S000000240,CSG2,NE,,SGD
116,580240,S000000241,SCO1,NE,,SGD
116,580240,S000000242,CHS2,E,,SGD
116,580240,S000000243,ATP3,NE,,SGD
116,580240,S000000244,FIG1,NE,,SGD
116,580240,S000000245,FAT1,NE,,SGD
116,580240,S000000246,CST26,NE,,SGD
116,580240,S000000247,QDR3,NE,,SGD
116,580240,S000000248,TCM62,NE,,SGD
116,580240,S000000249,GIP1,NE,,SGD
116,580240,S000000250,ZTA1,NE,,SGD
116,580240,S000000251,FMP23,NE,,SGD
116,580240,S000000252,RPS11B,NE,,SGD
116,580240,S000000253,REB1,E,,SGD
116,580240,S000000254,REG2,NE,,SGD
116,580240,S000000255,,NE,,SGD
116,580240,S000000256,RFS1,NE,,SGD
116,580240,S000000257,,NE,,SGD
116,580240,S000000258,YRO2,NE,,SGD
116,580240,S000000259,PRP6,E,,SGD
116,580240,S000000260,,NE,,SGD
116,580240,S000000261,MUM2,NE,,SGD
116,580240,S000000262,UBP14,NE,,SGD
116,580240,S000000263,AKL1,NE,,SGD
116,580240,S000000264,ORC2,E,,SGD
116,580240,S000000265,TRM7,C,,SGD
116,580240,S000000266,,NE,,SGD
116,580240,S000000267,,NE,,SGD
116,580240,S000000268,,NE,,SGD
116,580240,S000000269,ECM2,NE,,SGD
116,580240,S000000270,NRG2,NE,,SGD
116,580240,S000000271,TIP1,NE,,SGD
116,580240,S000000272,BAP2,NE,,SGD
116,580240,S000000273,TAT1,NE,,SGD
116,580240,S000000274,ALG14,E,,SGD
116,580240,S000000275,,NE,,SGD
116,580240,S000000276,HSP26,NE,,SGD
116,580240,S000000277,RDH54,NE,,SGD
116,580240,S000000278,PFF1,NE,,SGD
116,580240,S000000280,ECM8,NE,,SGD
116,580240,S000000281,SLM4,NE,,SGD
116,580240,S000000282,ECM33,NE,,SGD
116,580240,S000000283,RPG1,E,,SGD
116,580240,S000000284,SEC18,E,,SGD
116,580240,S000000285,SPT7,NE,,SGD
116,580240,S000000286,UBC4,NE,,SGD
116,580240,S000000287,TEC1,NE,,SGD
116,580240,S000000288,MIS1,NE,,SGD
116,580240,S000000289,AAC3,NE,,SGD
116,580240,S000000290,IST2,NE,,SGD
116,580240,S000000291,RFC5,E,,SGD
116,580240,S000000292,POL30,E,,SGD
116,580240,S000000293,,E,,SGD
116,580240,S000000294,,NE,,SGD
116,580240,S000000295,TIM12,E,,SGD
116,580240,S000000296,PHO3,NE,,SGD
116,580240,S000000297,PHO5,NE,,SGD
116,580240,S000000298,PBY1,NE,,SGD
116,580240,S000000299,RXT2,NE,,SGD
116,580240,S000000300,,NE,,SGD
116,580240,S000000301,VPS15,NE,,SGD
116,580240,S000000302,MMS4,NE,,SGD
116,580240,S000000303,,NE,,SGD
116,580240,S000000305,FES1,NE,,SGD
116,580240,S000000306,EXO84,E,,SGD
116,580240,S000000307,SIF2,NE,,SGD
116,580240,S000000308,YMC2,NE,,SGD
116,580240,S000000309,VID24,NE,,SGD
116,580240,S000000310,PHO88,C,,SGD
116,580240,S000000311,IML3,NE,,SGD
116,580240,S000000312,AIM3,NE,,SGD
116,580240,S000000313,CMD1,E,,SGD
116,580240,S000000314,ALG1,E,,SGD
116,580240,S000000315,YSA1,NE,,SGD
116,580240,S000000316,CYC8,C,,SGD
116,580240,S000000317,,NE,,SGD
116,580240,S000000318,RAD16,NE,,SGD
116,580240,S000000319,LYS2,NE,,SGD
116,580240,S000000320,,NE,,SGD
116,580240,S000000321,TKL2,NE,,SGD
116,580240,S000000322,TEF2,NE,,SGD
116,580240,S000000323,MUD1,NE,,SGD
116,580240,S000000324,CBP6,NE,,SGD
116,580240,S000000325,GRS1,E,,SGD
116,580240,S000000326,MRPL36,NE,,SGD
116,580240,S000000327,TFC1,C,,SGD
116,580240,S000000328,,E,,SGD
116,580240,S000000329,PTC4,NE,,SGD
116,580240,S000000330,TPS1,NE,,SGD
116,580240,S000000331,VMA2,NE,,SGD
116,580240,S000000332,ATG14,NE,,SGD
116,580240,S000000333,OPY1,NE,,SGD
116,580240,S000000334,SHE3,NE,,SGD
116,580240,S000000335,CCZ1,NE,,SGD
116,580240,S000000336,AGP2,NE,,SGD
116,580240,S000000337,HSL7,NE,,SGD
116,580240,S000000338,,NE,,SGD
116,580240,S000000339,CKS1,C,,SGD
116,580240,S000000340,MEC1,E,,SGD
116,580240,S000000341,,NE,,SGD
116,580240,S000000342,,NE,,SGD
116,580240,S000000343,,NE,,SGD
116,580240,S000000344,IRA1,E,,SGD
116,580240,S000000345,BMT2,NE,,SGD
116,580240,S000000346,MAK5,E,,SGD
116,580240,S000000347,SUP45,E,,SGD
116,580240,S000000348,,NE,,SGD
116,580240,S000000349,ADH5,NE,,SGD
116,580240,S000000350,MRPS9,NE,,SGD
116,580240,S000000351,RTC2,NE,,SGD
116,580240,S000000352,YSW1,NE,,SGD
116,580240,S000000353,ARA1,NE,,SGD
116,580240,S000000354,TBS1,NE,,SGD
116,580240,S000000355,APD1,NE,,SGD
116,580240,S000000356,SPP381,E,,SGD
116,580240,S000000357,RIB7,E,,SGD
116,580240,S000000358,RPB5,E,,SGD
116,580240,S000000359,CNS1,E,,SGD
116,580240,S000000360,SLI15,NE,,SGD
116,580240,S000000361,ICS2,NE,,SGD
116,580240,S000000362,AMN1,C,,SGD
116,580240,S000000363,IFA38,NE,,SGD
116,580240,S000000364,CDC28,C,,SGD
116,580240,S000000365,CSH1,NE,,SGD
116,580240,S000000366,TOS1,NE,,SGD
116,580240,S000000367,EXO5,NE,,SGD
116,580240,S000000368,ARL1,NE,,SGD
116,580240,S000000369,UBS1,NE,,SGD
116,580240,S000000370,TYR1,NE,,SGD
116,580240,S000000371,POP7,E,,SGD
116,580240,S000000372,PEX32,C,,SGD
116,580240,S000000373,SSE2,NE,,SGD
116,580240,S000000374,NPL4,NE,,SGD
116,580240,S000000375,SEC66,NE,,SGD
116,580240,S000000376,SMY2,NE,,SGD
116,580240,S000000377,UMP1,NE,,SGD
116,580240,S000000378,,NE,,SGD
116,580240,S000000379,SWD3,NE,,SGD
116,580240,S000000380,ECM31,NE,,SGD
116,580240,S000000381,EHT1,NE,,SGD
116,580240,S000000382,,NE,,SGD
116,580240,S000000383,FZO1,NE,,SGD
116,580240,S000000384,DTR1,NE,,SGD
116,580240,S000000385,RPS6B,NE,,SGD
116,580240,S000000386,SMP1,NE,,SGD
116,580240,S000000387,YPC1,NE,,SGD
116,580240,S000000388,,NE,,SGD
116,580240,S000000389,MBA1,NE,,SGD
116,580240,S000000390,PCH2,NE,,SGD
